"event_stamp","origin","module","active","records","loop_min","loop_max","loop_avg","loop_med","loop_std"
"2026-01-02 00:00:13","Looprate","mb","1","520","53","184997844","4593467","292624","14760576"
"2026-01-02 00:00:13","Looprate","mx","1","5516","12","15278796","511623","36653","1147795"
"2026-01-02 00:00:15","Looprate","wb","1","69923","14","1644221","40620","10475","77305"
"2026-01-02 00:00:15","Looprate","geo","1","11244","20","5469987","251729","109671","372319"
"2026-01-02 06:00:11","Looprate","lg","1","3439","12","19968093","826897","56860","1733155"
"2026-01-02 06:00:11","Looprate","mb","1","521","53","184997844","4777292","292891","15330624"
"2026-01-02 06:00:12","Looprate","mx","1","5541","12","15278796","513343","37135","1148827"
"2026-01-02 06:00:13","Looprate","wb","1","70513","14","1644221","40583","10472","77197"
"2026-01-02 06:00:13","Looprate","geo","1","11307","20","5469987","252217","110011","372469"
"2026-01-02 12:00:07","Looprate","lg","1","3498","12","19968093","819148","55342","1723582"
"2026-01-02 12:00:08","Looprate","mb","1","521","53","184997844","4777292","292891","15330624"
"2026-01-02 12:00:08","Looprate","mx","1","5552","12","15278796","515992","37961","1153419"
"2026-01-02 12:00:09","Looprate","wb","1","71048","14","1644221","40585","10473","77098"
"2026-01-02 12:00:10","Looprate","geo","1","11374","20","5469987","252626","110193","372714"
