"event_stamp","origin","module","active","records","rate_loop_min","rate_loop_max","rate_loop_avg","rate_loop_med","rate_loop_procs","rate_filter_min","rate_filter_max","rate_filter_avg","rate_filter_med","rate_filter_proc"
"2025-12-31 11:12:57","Sqlrate","wb","1","12048","11.0","2547.0","65.32","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-31 11:12:57","Sqlrate","geo","1","10971","11.0","2233.0","88.91","44.0","22.73","NA","NA","NA","NA","NA"
"2025-12-31 12:00:06","Sqlrate","lg","1","6587","11.0","2280.0","73.8","32.0","31.25","NA","NA","NA","NA","NA"
"2025-12-31 12:00:07","Sqlrate","mx","1","4783","11.0","2150.0","74.85","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-31 12:00:07","Sqlrate","wb","1","12052","11.0","2547.0","65.31","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-31 12:00:07","Sqlrate","geo","1","10980","11.0","2233.0","88.87","44.0","22.73","NA","NA","NA","NA","NA"
"2025-12-31 18:00:06","Sqlrate","lg","1","6659","11.0","2280.0","73.35","32.0","31.25","NA","NA","NA","NA","NA"
"2025-12-31 18:00:07","Sqlrate","mx","1","4824","11.0","2150.0","74.45","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-31 18:00:07","Sqlrate","wb","1","12094","11.0","2547.0","65.19","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-31 18:00:07","Sqlrate","geo","1","11049","11.0","2233.0","88.61","44.0","22.73","NA","NA","NA","NA","NA"
"2026-01-01 00:00:11","Sqlrate","lg","1","6692","11.0","2280.0","73.13","32.0","31.25","NA","NA","NA","NA","NA"
"2026-01-01 00:00:12","Sqlrate","mx","1","4848","11.0","2150.0","74.22","29.0","34.48","NA","NA","NA","NA","NA"
"2026-01-01 00:00:12","Sqlrate","wb","1","12144","11.0","2547.0","65.04","29.0","34.48","NA","NA","NA","NA","NA"
"2026-01-01 00:00:13","Sqlrate","geo","1","11096","11.0","2233.0","88.41","44.0","22.73","NA","NA","NA","NA","NA"
"2026-01-01 00:06:07","Sqlrate","lg","1","6692","11.0","2280.0","73.13","32.0","31.25","NA","NA","NA","NA","NA"
"2026-01-01 00:06:07","Sqlrate","mx","1","4848","11.0","2150.0","74.22","29.0","34.48","NA","NA","NA","NA","NA"
"2026-01-01 00:06:07","Sqlrate","wb","1","12144","11.0","2547.0","65.04","29.0","34.48","NA","NA","NA","NA","NA"
"2026-01-01 00:06:08","Sqlrate","geo","1","11096","11.0","2233.0","88.41","44.0","22.73","NA","NA","NA","NA","NA"
"2026-01-01 01:00:10","Sqlrate","lg","1","6692","11.0","2280.0","73.13","32.0","31.25","NA","NA","NA","NA","NA"
"2026-01-01 01:00:10","Sqlrate","mx","1","4854","11.0","2150.0","74.16","29.0","34.48","NA","NA","NA","NA","NA"
"2026-01-01 01:00:10","Sqlrate","wb","1","12154","11.0","2547.0","65.0","29.0","34.48","NA","NA","NA","NA","NA"
"2026-01-01 01:00:11","Sqlrate","geo","1","11105","11.0","2233.0","88.38","44.0","22.73","NA","NA","NA","NA","NA"
"2026-01-01 06:00:07","Sqlrate","lg","1","6735","11.0","2280.0","72.84","32.0","31.25","NA","NA","NA","NA","NA"
"2026-01-01 06:00:07","Sqlrate","mx","1","4868","11.0","2150.0","74.03","29.0","34.48","NA","NA","NA","NA","NA"
"2026-01-01 06:00:07","Sqlrate","wb","1","12176","11.0","2547.0","64.97","29.0","34.48","NA","NA","NA","NA","NA"
"2026-01-01 06:00:08","Sqlrate","geo","1","11143","11.0","2233.0","88.23","44.0","22.73","NA","NA","NA","NA","NA"
"2026-01-01 12:00:06","Sqlrate","lg","1","6807","11.0","2280.0","72.4","32.0","31.25","NA","NA","NA","NA","NA"
"2026-01-01 12:00:06","Sqlrate","mx","1","4875","11.0","2150.0","73.97","29.0","34.48","NA","NA","NA","NA","NA"
"2026-01-01 12:00:06","Sqlrate","wb","1","12214","11.0","2547.0","64.85","29.0","34.48","NA","NA","NA","NA","NA"
"2026-01-01 12:00:06","Sqlrate","geo","1","11190","11.0","2233.0","88.04","44.0","22.73","NA","NA","NA","NA","NA"
"2026-01-01 18:00:06","Sqlrate","lg","1","6857","11.0","2280.0","72.1","32.0","31.25","NA","NA","NA","NA","NA"
