"event_stamp","origin","module","active","records","rate_loop_min","rate_loop_max","rate_loop_avg","rate_loop_med","rate_loop_procs","rate_filter_min","rate_filter_max","rate_filter_avg","rate_filter_med","rate_filter_proc"
"2025-12-30 21:06:20","Procrate","mx","1","5190","23.0","2000.0","164.27","78.0","12.82","2.0","1681.0","106.97","21.0","47.62"
"2025-12-30 21:06:21","Procrate","wb","1","65438","15.0","1996.0","94.75","40.0","25.0","4.0","1852.0","48.25","20.0","50.0"
"2025-12-30 21:06:21","Procrate","geo","1","9920","358.0","2000.0","710.48","680.0","1.47","325.0","1960.0","656.38","634.0","1.58"
"2025-12-31 00:25:54","Procrate","lg","1","2684","30.0","2000.0","287.31","198.0","5.05","6.0","1824.0","238.19","162.0","6.17"
"2025-12-31 00:25:54","Procrate","mb","1","509","33.0","1644.0","177.09","143.0","6.99","6.0","1415.0","149.7","119.0","8.4"
"2025-12-31 00:25:54","Procrate","mx","1","5200","23.0","2000.0","164.28","78.0","12.82","2.0","1681.0","107.01","21.0","47.62"
"2025-12-31 00:25:55","Procrate","wb","1","65863","15.0","1996.0","94.49","40.0","25.0","4.0","1852.0","48.11","20.0","50.0"
"2025-12-31 00:25:55","Procrate","geo","1","9957","358.0","2000.0","710.32","679.0","1.47","325.0","1960.0","656.23","634.0","1.58"
"2025-12-31 00:46:28","Procrate","lg","1","2689","30.0","2000.0","287.15","198.0","5.05","6.0","1824.0","238.05","162.0","6.17"
"2025-12-31 00:46:28","Procrate","mb","1","509","33.0","1644.0","177.09","143.0","6.99","6.0","1415.0","149.7","119.0","8.4"
"2025-12-31 00:46:28","Procrate","mx","1","5202","23.0","2000.0","164.27","78.0","12.82","2.0","1681.0","107.02","21.0","47.62"
"2025-12-31 00:46:29","Procrate","wb","1","65903","15.0","1996.0","94.47","40.0","25.0","4.0","1852.0","48.1","20.0","50.0"
"2025-12-31 00:46:30","Procrate","geo","1","9963","358.0","2000.0","710.26","679.0","1.47","325.0","1960.0","656.17","634.0","1.58"
"2025-12-31 01:07:59","Procrate","lg","1","2689","30.0","2000.0","287.15","198.0","5.05","6.0","1824.0","238.05","162.0","6.17"
"2025-12-31 01:07:59","Procrate","mb","1","509","33.0","1644.0","177.09","143.0","6.99","6.0","1415.0","149.7","119.0","8.4"
"2025-12-31 01:07:59","Procrate","mx","1","5202","23.0","2000.0","164.27","78.0","12.82","2.0","1681.0","107.02","21.0","47.62"
"2025-12-31 01:08:00","Procrate","wb","1","65918","15.0","1996.0","94.46","40.0","25.0","4.0","1852.0","48.09","20.0","50.0"
"2025-12-31 01:08:00","Procrate","geo","1","9963","358.0","2000.0","710.26","679.0","1.47","325.0","1960.0","656.17","634.0","1.58"
"2025-12-31 01:21:21","Procrate","lg","1","2689","30.0","2000.0","287.15","198.0","5.05","6.0","1824.0","238.05","162.0","6.17"
"2025-12-31 01:21:21","Procrate","mb","1","509","33.0","1644.0","177.09","143.0","6.99","6.0","1415.0","149.7","119.0","8.4"
"2025-12-31 01:21:21","Procrate","mx","1","5202","23.0","2000.0","164.27","78.0","12.82","2.0","1681.0","107.02","21.0","47.62"
"2025-12-31 01:21:22","Procrate","wb","1","65956","15.0","1996.0","94.45","40.0","25.0","4.0","1852.0","48.09","20.0","50.0"
